t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,4979439179293902.0,5254691358970268.0,275252179676401.3,0.0,0.0,0.0,0.0,0.0
2.1,7652306496072854.0,8076066542611662.0,422999613718332.9,342464117.4582338,4322250444.291253,123592280086.83351,518850203332.24524,113325622455.04395
3.3100000000000005,9803583564974806.0,1.0347534923145114e+16,541915263055887.44,921277348.8432827,11624224024.542267,327651185691.1596,1388899804309.6157,306998622932.3511
4.641000000000001,1.172666585498473e+16,1.2378713708143454e+16,648217150632711.5,1736805487.5679302,21910747909.021362,612367514318.4756,2611420691819.6523,583266766529.391
6.105100000000002,1.3530983148986184e+16,1.4285131847523132e+16,747954157388723.0,2809631877.3077927,35441593163.341034,985094017061.8098,4219634377276.429,951561528899.8867
7.7156100000000025,1.5271531991324214e+16,1.6124898732665632e+16,844166291748136.6,4171002155.6565065,52610876785.82054,1456731193257.2014,6261942149549.404,1424994371445.8892
9.487171000000004,1.698096416295553e+16,1.793256217718526e+16,938658426918204.9,5860710012.504762,73920457882.84619,2041052072368.718,8798958250604.379,2019795820659.6724
11.435888100000005,1.868094666184878e+16,1.9731096154420176e+16,1032628238170203.0,7926863100.740402,99977009218.95593,2754651797655.8716,11903335173462.018,2755363557877.245
13.579476910000007,2.0387090461326052e+16,2.153710329748779e+16,1126938646062988.0,10426391545.542213,131498439199.21062,3617137009593.7964,15660593905272.729,3654534353195.4336
15.937424601000009,2.2111395850097024e+16,2.3363397524090384e+16,1222252985690600.8,13425970000.681978,169325522909.49417,4651450199509.771,20170503916191.25,4743982694059.649
18.53116706110001,2.3863587967530252e+16,2.522041612021642e+16,1319108830117799.0,17003244993.212751,214437380019.36517,5884295531062.73,25548870607569.65,6054715804887.09
21.384283767210015,2.5651901206459104e+16,2.7117050775222428e+16,1417961349284227.0,21248336900.971027,267970414125.74686,7346657272763.809,31929689306451.27,7622654148783.147
24.522712143931017,2.7483567094200052e+16,2.906116622636342e+16,1519210278289482.8,26265619338.14525,331240748973.35706,9074412624403.592,39467656916505.22,9489277964673.316
27.97498335832412,2.9365132397788508e+16,3.1059940103191864e+16,1623217501101516.2,32175796468.5383,405770420465.75555,11109046496647.291,48340995582779.805,11702216005259.582
31.772481694156536,3.130267578768442e+16,3.3120095159581236e+16,1730319026955652.8,39118311261.265755,493317741012.1777,13498480314687.035,58754306695562.87,14315121878633.695
35.949729863572195,3.3301964602914588e+16,3.524806403208774e+16,1840833655807287.8,47254131685.16937,595912430002.7844,16298033525954.164,70940344929913.1,17384228348067.312
40.544702849929415,3.5368584272894516e+16,3.745011024853146e+16,1955070132434055.0,56768986343.738396,715896416448.4998,19571550510699.543,85157376366078.72,20954250923419.43
45.59917313492236,3.750807188854865e+16,3.97324200797287e+16,2073334530081596.5,67877162040.53923,855971742492.6887,23392744078944.633,101674135353701.22,25022932761330.418
51.1590904484146,3.9726065682288584e+16,4.210117451549474e+16,2195938513627115.0,80825995309.56894,1019257239838.6802,27846768643563.836,120728251398354.39,29495216301989.348
57.27499949325607,4.2028414341493944e+16,4.456260740866084e+16,2323205382030464.5,95901079891.9482,1209354221189.3835,33031798170546.336,142449358279719.4,34201273384653.027
64.00249944258168,4.442116181316351e+16,4.712305370968835e+16,2455469227061049.5,113432051698.79608,1430419339241.634,39060040075234.11,166786218666545.84,39032559330759.78
71.40274938683986,4.6910460776175736e+16,4.978899009523408e+16,2593070147737866.0,133799002391.30151,1687245160506.3274,46057682123565.445,193537234954668.62,44043210079013.69
79.54302432552385,4.950252763509528e+16,5.2567068682649464e+16,2736351759093616.5,157439827498.0492,1985352220872.0376,54163548711151.4,222507790172146.53,49375157529247.17
88.49732675807624,5.220362801929287e+16,5.546414245744865e+16,2885660385996750.5,184858649797.99063,2331094145416.226,63526310638166.11,253659614054565.53,55152174671124.516
98.34705943388387,5.502007951373482e+16,5.848727812934866e+16,3041345208161127.5,216635457464.46255,2731777339830.1724,74300580606878.03,287142483484337.6,61461930564245.31
109.18176537727226,5.7958277590848936e+16,6.164374819476528e+16,3203759686576956.5,253437175435.30884,3195797731163.883,86642866154999.72,323242431330179.2,68376384947478.086
121.09994191499949,6.102470232410855e+16,6.494098924540086e+16,3373261926859169.5,296030210838.54083,3732794744651.8574,100708549882317.02,362322266481863.25,75965353113516.7
134.20993610649944,6.422585948450615e+16,6.838650879795835e+16,3550211415397397.0,345294362456.14795,4353820813062.77,116650922434046.47,404786165014098.8,84301695431004.31
148.6309297171494,6.756813277944573e+16,7.198771944532161e+16,3734960844760776.0,402237905683.9487,5071523819606.129,134622798945196.7,451065719425743.9,93463541018791.16
164.49402268886433,7.105753396772593e+16,7.575167858348728e+16,3927842296331518.5,468013530939.7233,5900338337865.612,154780500978846.25,501617796742680.94,103535669839256.4
181.94342495775078,7.469934044698115e+16,7.968471587358413e+16,4129147206288799.5,543934609969.90643,6856679148226.681,177289350045518.03,556927628793894.56,114610627716752.23
201.13776745352587,7.84976160503203e+16,8.37919397921808e+16,4339099880191316.5,631491027100.3295,7959127723880.971,202329583088347.1,617513899691512.5,126789760138187.88
222.25154419887846,8.245462233466835e+16,8.807662875557024e+16,4557824959191891.0,732363575681.617,9228599611644.287,230101775102710.44,683934476632033.0,140184246787632.0
245.47669861876633,8.657014290922771e+16,9.25395296401631e+16,4785310084293446.0,848435715951.3236,10688478278079.541,260831249508588.94,756792301824486.2,154916181314793.34
271.024368480643,9.084075940948926e+16,9.717810421361174e+16,5021365892192096.0,981801348965.9304,12364699421155.43,294771357322407.25,836741329259886.0,171119724578469.6
299.1268053287073,9.525913135843454e+16,1.0198577879094886e+17,5265586229674462.0,1134767204849.283,14285769251277.154,332205784748132.9,924492529575639.0,188942352059949.62
330.03948586157804,9.98133406903073e+16,1.069512616089141e+17,5517311945017535.0,1309848485215.24,16482700986718.145,373450181043103.94,1020820030389238.5,208546212684932.22
